category,subcategories,Date,status,transmis_entreprise,tags,transmis_authorite,is_read,has_response,description
AchatMagasin,"Le_magasin_de_facon_generale,Remboursement_garantie,Autre_raison,Oui",2026-07-02,TraitementEnCours,1,aucun_tag,0,1,0,"J'ai acheté une table basse dans votre magasin il y a un mois. Elle présente un défaut, le plateau se déforme. Je l'ai rapportée au magasin avec le ticket de caisse. On m'a dit que je devais contacter le fabricant directement, ce que j'ai fait. Le fabricant m'a renvoyé vers vous. Résultat : personne ne veut prendre en charge. Je suis pris dans un ping-pong. Le magasin est responsable de la vente, vous devez gérer le SAV. Je trouve ça inadmissible. Je veux un remboursement complet ou un échange."
VoitureVehiculeVelo,Autre,2026-06-25,TraitementEnCours,0,aucun_tag,0,1,1,"J'ai confié ma voiture à un garage pour une vidange et un contrôle technique. La vidange a été faite, mais le contrôle technique a révélé des problèmes que je n'avais pas avant. Le garagiste me dit que c'est normal, mais j'ai des doutes. Il a peut-être mal serré quelque chose. Je ne suis pas un mécanicien, mais j'ai l'impression qu'on m'a facturé des réparations inutiles. Le prix est élevé et je ne comprends pas les explications. Je cherche à savoir si ces réparations étaient vraiment nécessaires. J'aimerais un avis extérieur."
AchatInternet,"Le_site_internet_en_luimeme,La_publicite,Publicite_trompeuse_ou_mensongere,Fausse_description_dun_produit_ou_dun_service",2026-06-08,TraitementEnCours,0,Internet,0,1,1,"J'ai commandé un matelas en mousse mémoire de forme sur un site spécialisé. La publicité promettait un confort exceptionnel, une fermeté parfaite pour le dos. À la réception, le matelas est beaucoup trop ferme, je me réveille avec des douleurs. J'ai relu la description, elle ne correspond pas du tout à la réalité. Le site parlait d'un matelas ""doux et accueillant"", mais c'est plutôt dur comme du bois. Je me sens trompé, j'ai payé 600 euros pour un produit qui ne remplit pas ses promesses. Je souhaite le retourner et être remboursé."
AchatInternet,"Un_produit,Cest_un_objet,La_garantie_ou_le_remboursement,Il_presente_un_defaut_ou_il_ne_marche_plus,Neuf,Il_y_a_moins_de_2_ans",2026-07-04,NonTraite,0,aucun_tag,0,0,0,"J'ai acheté une cafetière à expresso en ligne, elle est arrivée défectueuse : elle fuit de l'eau par le bas. Je l'ai utilisée deux fois seulement. J'ai contacté le vendeur, il m'a dit de la renvoyer à mes frais. Je trouve ça anormal car le produit est défaillant, je ne devrais pas payer pour le retour. Je leur ai proposé un échange, mais ils insistent sur l'envoi à mes frais. Je ne veux pas payer 15 euros supplémentaires. Je pense qu'ils doivent prendre en charge le retour. Que dois-je faire ?"
AchatMagasin,"Un_produit_en_particulier,Cest_un_aliment,Probleme_avec_lemballage_ou_letiquette,Informations_trompeuses_ou_fausses,La_composition",2026-06-13,TraitementEnCours,0,Produit alimentaire,0,0,0,"J'ai acheté un paquet de biscuits ""light"" au supermarché. L'emballage indiquait ""sans sucre ajouté"". Mais en lisant la liste des ingrédients, j'ai vu qu'il y avait du sirop de glucose, qui est un sucre. L'information est trompeuse, car beaucoup de gens comme moi font attention à leur consommation de sucre. J'ai l'impression d'avoir été induite en erreur. Ce n'est pas le premier produit avec ce genre de manque de transparence. J'aimerais que l'étiquetage soit plus clair pour éviter ce genre de confusion."
AchatInternet,"Une_commande_effectuee,Commande_incomplete",2026-06-29,TraitementEnCours,1,"Commande effectuée,Internet",0,0,0,"J'ai commandé un lot de 10 livres sur votre site, mais je n'ai reçu que 8 exemplaires. La facture mentionne bien les 10 livres, le paiement a été pris pour la totalité. J'ai contacté le service client par email, mais ils m'ont répondu qu'il y avait eu une erreur de préparation et qu'ils allaient me renvoyer les 2 manquants. Cela fait une semaine, je n'ai rien reçu, et ils ne répondent plus à mes relances. Je suis patient, mais j'aimerais qu'ils honorent leur engagement. Sinon, je demande un remboursement partiel."
AchatInternet,"Un_produit,Cest_un_objet,La_garantie_ou_le_remboursement,Il_presente_un_defaut_ou_il_ne_marche_plus,Neuf,Il_y_a_moins_de_2_ans",2026-07-06,TraitementEnCours,0,aucun_tag,0,1,0,"J'ai reçu un aspirateur sans fil il y a 15 jours. Il a cessé de fonctionner après une seule recharge : la batterie ne tient plus que 5 minutes. C'est un produit neuf, acheté sur votre site. J'ai envoyé un mail au support avec la facture, ils m'ont demandé une vidéo du problème, ce que j'ai fait. Depuis, plus aucune nouvelle. Je trouve cela inadmissible, j'ai besoin de cet aspirateur pour mon appartement. Je demande un échange rapide, car la garantie doit couvrir ce genre de défaut. Merci de me répondre rapidement."
BanqueAssuranceMutuelle,"Une_banque,Autre",2026-05-01,TraitementEnCours,0,Internet,0,0,0,"Ma banque a prélevé des frais de tenue de compte que je n'avais pas autorisés. J'ai pourtant un compte sans frais, puisque j'ai des revenus mensuels. Le conseiller m'avait assuré que je n'aurais pas de frais. Je viens de voir un prélèvement de 25 euros. J'ai appelé, ils m'ont dit que c'était normal, que j'avais dépassé un seuil de transactions. C'est n'importe quoi, on me vend une offre, on m'en facture une autre. Je suis en train de changer de banque, mais je veux qu'on me rembourse ces frais indus."
AchatInternet,"Une_commande_effectuee,Commande_incomplete",2026-07-03,TraitementEnCours,0,"Commande effectuée,Internet",0,1,0,"J'ai acheté un kit de maquillage sur un site de beauté, j'ai commandé 5 produits. Dans le colis, il manquait le fond de teint. Le bon de livraison indique pourtant qu'il est inclus. J'ai contacté le SAV par chat, on m'a répondu qu'ils allaient vérifier. Une semaine plus tard, toujours rien. Je relance, et là, on me dit que le produit est en rupture. Pourquoi ne pas me l'avoir dit avant ? Je ne veux pas attendre 3 semaines, je préfère un remboursement pour ce produit manquant. C'est du foutage de gueule."
AchatMagasin,"Un_produit_en_particulier,Cest_un_aliment,Probleme_avec_lemballage_ou_letiquette,Informations_trompeuses_ou_fausses,La_composition",2026-06-17,TraitementEnCours,0,Produit alimentaire,0,0,0,"J'ai acheté une boîte de thon au rayon conserve. L'étiquette mentionnait ""thon sauvage pêché à la ligne"", ce qui laissait entendre une pêche durable. En réalité, j'ai appris que c'était du thon issu de filets dérivants, très nocif pour l'environnement. C'est de la tromperie pure. J'ai payé plus cher pour un produit qui n'est pas du tout ce qui est annoncé. Je suis écologiste, je fais attention à ce que j'achète, et je me sens trahi. Je vais signaler ce produit aux autorités."
AchatMagasin,"Un_produit_en_particulier,Cest_un_aliment,Produit_perime,Un_constat_frequent_de_produits_perimes_dans_un_etablissement,Des_produits_vendus_au_rayon_frais_notamment_avec_des_oeufs_de_la_viande_ou_du_poisson,Oui",2026-06-08,TraitementEnCours,1,Produit alimentaire,0,1,0,"Je fais mes courses dans votre magasin depuis des années, mais depuis quelques mois, je trouve régulièrement des produits périmés dans les rayons. Hier encore, j'ai acheté un paquet de jambon qui était périmé depuis 3 jours. Le rayon viande est particulièrement concerné. J'ai signalé à un employé, il a juste retiré le produit sans plus. Ce n'est pas la première fois, c'est devenu récurrent. Je trouve ça dangereux pour la santé, surtout pour les personnes âgées. Vous devriez vérifier vos stocks plus souvent."
AchatInternet,"Le_site_internet_en_luimeme,La_publicite,Publicite_trompeuse_ou_mensongere,Fausse_description_dun_produit_ou_dun_service",2026-06-05,TraitementEnCours,0,Internet,0,1,0,"J'ai commandé une robe sur un site chinois, les photos étaient magnifiques, avec une coupe fluide et des couleurs vives. À la réception, la robe est en plastique, la couleur est délavée et la coupe est complètement différente. Rien à voir avec la description. J'ai essayé de contacter le vendeur, mais il ne répond pas. Je me suis fait avoir. Le site est clairement trompeur, il faudrait le fermer. Je regrette de ne pas avoir lu les avis avant. Plus jamais je n'achèterai sur ce type de site."
ServicesAuxParticuliers,"Autre_type_dentreprise_de_service,Autre",2026-05-21,TraitementEnCours,0,aucun_tag,0,1,0,"J'ai fait appel à une entreprise pour nettoyer ma moquette. Deux employés sont venus, ils ont passé l'aspirateur et un peu de shampoing, mais les taches sont toujours là. J'ai payé 90 euros, c'est du gaspillage. J'ai appelé l'entreprise, ils m'ont proposé une nouvelle prestation à moitié prix, mais je n'ai pas confiance. Je trouve qu'ils ne font pas correctement leur travail. Je voudrais être remboursé, car le service n'est pas conforme à ce qui était promis. C'est une perte de temps et d'argent."
AchatInternet,"Le_site_internet_en_luimeme,Autre",2026-05-28,TraitementEnCours,1,Internet,0,1,1,"Le site internet sur lequel j'ai acheté des cartouches d'encre est très peu clair. Il y a une croix pour fermer une fenêtre publicitaire qui ne fonctionne pas, je suis resté bloqué sur une page. J'ai dû réinitialiser mon navigateur. Le panier d'achat ajoutait des articles que je n'avais pas choisis. Je me suis retrouvé avec 3 cartouches en plus dans mon panier. J'ai réussi à les enlever, mais c'était laborieux. Le site est mal fait, ça donne une impression d'arnaque. Je ne commanderai plus chez eux. Heureusement, j'ai reçu ma commande, mais l'expérience a été désagréable."
AchatInternet,"Le_site_internet_en_luimeme,Demandes_repetees",2026-06-21,TraitementEnCours,0,Internet,1,1,0,"J'ai commandé une imprimante sur votre site. Le paiement a été validé, mais deux jours plus tard, je reçois un mail disant qu'il y a un problème de stock et que je dois patienter. Puis on me redemande de confirmer mon adresse, alors que je l'ai déjà faite. Je renvoie les infos, mais je ne reçois pas de confirmation de commande définitive. J'ai renvoyé 3 mails, on me répond à chaque fois avec une demande différente. Je commence à perdre patience. Je veux juste savoir si ma commande est prise en compte ou s'il faut que j'annule. C'est du grand n'importe quoi."
CafeRestaurant,"Hygiene,Hygiene_des_locaux_et_du_materiel,Je_trouve_les_locaux_sales_ou_degrades",2026-06-28,InformateurInterne,0,hygiène,0,0,1,"En tant qu'employé de ce café, je tiens à signaler que les conditions d'hygiène sont préoccupantes. Les sols sont rarement lavés, les tables sont collantes, et les toilettes sont souvent sales. Le responsable ne fait pas le nécessaire malgré nos remarques. La vaisselle est parfois rincée rapidement sans détergent. J'ai peur que cela nuise à la réputation du commerce et surtout à la santé des clients. Je fais ce signalement en interne pour que des mesures soient prises avant qu'un contrôle n'ait lieu."
CafeRestaurant,"Hygiene,Hygiene_des_locaux_et_du_materiel,Je_trouve_les_locaux_sales_ou_degrades",2026-05-18,TraitementEnCours,0,hygiène,0,1,1,"Je suis allé au café du coin pour un petit déjeuner. Dès l'entrée, j'ai remarqué que le sol était gras, il y avait des miettes sur les tables. Le comptoir était poussiéreux. Le serveur a essuyé une table avec un chiffon qui avait l'air sale. J'ai commandé un café, la tasse avait des traces de doigts. Franchement, c'est dégoûtant. Je n'ai pas mangé sur place. Je ne comprends pas comment on peut laisser un établissement dans cet état. J'aimerais qu'il y ait des contrôles d'hygiène plus stricts."
TelephonieFaiMedias,"Abonnement_television,Probleme_de_resiliation_dabonnement,Je_narrive_pas_a_resilier_mon_contrat",2026-05-28,TraitementEnCours,0,"Résiliation,Internet",0,0,0,"Je suis abonné à une box TV depuis 2 ans. J'ai déménagé récemment, j'ai envoyé une lettre de résiliation recommandée il y a un mois. Je n'ai aucune nouvelle, ils continuent de me prélever. J'ai appelé le service client, on me dit que la demande est en cours mais rien ne se passe. J'ai renvoyé un courrier, sans effet. C'est un véritable parcours du combattant pour résilier. Je ne veux pas payer encore un mois pour un service que je n'utilise plus. Ils font exprès de traîner, c'est une pratique commerciale douteuse."
BanqueAssuranceMutuelle,"Une_assurance_mutuelle,Contrat",2026-07-01,TraitementEnCours,0,aucun_tag,0,0,0,"J'ai pris une assurance mutuelle santé chez vous il y a 3 ans. Je viens de recevoir mon contrat renouvelé, avec une augmentation de 15% du tarif, sans que je sois informé au préalable. Je suis en bonne santé, je n'ai fait aucune demande de remboursement cette année. Je trouve cette hausse injustifiée. J'ai contacté le service client, on m'a donné des explications vaseuses sur l'évolution des coûts. Je vais chercher une autre assurance, mais je trouve cette pratique abusive. Je veux un retour aux tarifs précédents."
AchatMagasin,"Un_produit_en_particulier,Cest_un_aliment,Probleme_avec_lemballage_ou_letiquette,Informations_trompeuses_ou_fausses,La_composition",2026-05-24,TraitementEnCours,0,Produit alimentaire,0,1,1,"J'ai acheté un pâté en croûte dans votre charcuterie. L'étiquette indique ""pâté en croûte pur porc"". Mais en lisant les ingrédients, j'y ai trouvé de la viande de poulet. C'est de la publicité mensongère. J'ai payé plus cher pour un produit qui n'est pas conforme à la description. Je suis très déçu, je fais attention à ce que je mange. J'ai contacté le service client, ils ont proposé un avoir, mais je préfère un remboursement. Ils doivent être honnêtes sur la composition."
VoitureVehiculeVelo,"Reparation_revision_vente_de_vehicule,Prix_paiement",2026-06-26,TraitementEnCours,0,aucun_tag,0,1,1,"J'ai fait réparer mon pare-brise dans un garage. Le devis était de 250 euros. Au moment de payer, la facture était de 350 euros, avec des frais supplémentaires non justifiés. J'ai contesté, le garagiste m'a dit que c'était pour des produits de nettoyage et main-d'œuvre. Mais cela n'avait pas été mentionné sur le devis. Je me suis senti piégé, j'ai payé car j'avais besoin de ma voiture, mais je ne retournerai plus là-bas. C'est une pratique malhonnête, il faudrait que les prix soient clairs dès le départ."
AchatMagasin,"Le_magasin_de_facon_generale,Hygiene,Probleme_de_temperature",2026-06-19,TraitementEnCours,0,"hygiène,Produit alimentaire",0,1,0,"Je fais régulièrement mes courses dans votre supermarché. Je constate que les produits frais, comme la viande et les produits laitiers, ne sont pas toujours bien conservés. La température dans les frigos semble trop élevée, j'ai vu du lait qui avait tourné avant la date de péremption. J'ai signalé au rayon, mais on m'a dit que c'était normal. Ce n'est pas normal, c'est un problème d'hygiène. Je m'inquiète pour la santé des consommateurs. Il faut vérifier les équipements, car cela peut rendre malade."
EauGazElectricite,"Gaz_Electricite,Contrat,Autre",2026-06-22,TraitementEnCours,0,aucun_tag,0,1,1,"J'ai reçu une proposition de contrat de gaz de la part d'un fournisseur. On m'offrait un prix fixe pendant 2 ans. J'ai signé, mais dès le premier mois, le prix a augmenté. J'ai relu le contrat, il y avait une clause que je n'avais pas vue : le prix fixe ne s'applique que si je consomme moins de 1000 kWh par an, ce qui n'est pas mon cas. C'est de la tromperie, on ne m'a pas expliqué clairement. J'ai appelé, on m'a dit que je pouvais résilier avec des frais. Je me sens arnaqué. Je vais contacter le médiateur de l'énergie."
AchatInternet,"Abonnement_ou_frais_caches,Abonnement_nonindique",2026-07-02,TraitementEnCours,0,Internet,1,1,0,"J'ai souscrit à un essai gratuit d'un service de streaming. Aucune mention du prix après l'essai. J'ai donné mes coordonnées bancaires, et au bout de 7 jours, j'ai été prélevé de 59 euros. Je n'ai jamais donné mon accord pour un abonnement. J'ai contacté le service client pour annuler et me faire rembourser, ils font traîner. C'est une pratique déloyale de cacher l'abonnement. Je n'avais pas vu la petite ligne dans les conditions générales. J'exige un remboursement total et l'annulation de mon compte."
AchatInternet,"Un_produit,Cest_un_objet,La_garantie_ou_le_remboursement,Il_presente_un_defaut_ou_il_ne_marche_plus,Neuf,Il_y_a_moins_de_2_ans",2026-06-29,TraitementEnCours,0,aucun_tag,0,0,0,"J'ai acheté un lave-linge sur votre site en ligne. Il est arrivé il y a 2 semaines, j'ai fait une première lessive, tout allait bien. La deuxième lessive, il s'est arrêté en cours de cycle avec une erreur. J'ai appelé le SAV, on m'a dit d'envoyer un technicien à mes frais. Mais le produit est sous garantie, je ne comprends pas. C'est la première fois que j'achète chez vous, et je suis très déçu. Je demande une prise en charge complète, car c'est un défaut de fabrication. Merci de répondre rapidement."
CafeRestaurant,"Informations_mensongeres_sur_le_menu_la_carte_ou_le_site_internet,Information_mensongere_ou_trompeuse",2026-06-01,TraitementEnCours,0,aucun_tag,0,0,0,"J'ai réservé une table dans ce restaurant sur la base de leur menu en ligne, qui proposait un plat de poisson du jour à 18 euros. Arrivé sur place, le serveur m'annonce que le poisson n'est plus disponible, et me propose un autre plat à 32 euros. Je trouve cela abusif, on m'a attiré avec une offre alléchante pour me vendre plus cher. C'est trompeur. J'ai demandé à voir le gérant, il a minimisé le problème. Je ne reviendrai pas. Je signale cette pratique pour que d'autres ne se fassent pas avoir."
AchatMagasin,"Un_produit_dangereux,Autre,Blessure_physique",2026-05-25,NonTraite,0,Produit dangereux,0,1,0,"J'ai acheté une lampe à huile dans un magasin de décoration. En la branchant, une étincelle s'est produite et j'ai reçu un choc électrique au doigt. J'ai eu une brûlure légère. Le produit semble défectueux, il n'y avait pas de norme CE. Le vendeur n'a pas voulu me rembourser. J'ai peur que d'autres clients aient le même problème. C'est dangereux. Je voudrais que le produit soit retiré de la vente. Je n'ai pas de photo, mais j'ai gardé le produit. Je suis prêt à le montrer."
Immobilier,"Syndic_de_copropriete,Absence_de_reponse_du_syndic",2026-06-26,TraitementEnCours,0,aucun_tag,0,1,1,"Je suis propriétaire dans une copropriété. J'ai écrit au syndic pour demander des travaux urgents dans les parties communes, une fuite d'eau. Cela fait 3 semaines, je n'ai pas de réponse. Les autres copropriétaires sont aussi dans l'attente. Le syndic est injoignable, les mails restent sans réponse. C'est une situation inacceptable, nous payons des charges pour un service qui n'est pas rendu. Je souhaite que le syndic réagisse rapidement et prenne ses responsabilités. Sinon, nous envisagerons de changer de syndic."
Immobilier,"Agence_immobiliere,Jai_un_probleme_en_tant_que_locataire,Bail_contrat_de_location",2026-05-20,TraitementEnCours,0,aucun_tag,0,0,1,"Je suis locataire d'un appartement géré par votre agence. Mon bail arrive à échéance dans 2 mois, je souhaite le renouveler. J'ai envoyé un courrier recommandé, mais je n'ai pas de réponse. J'ai appelé l'agence, ils me disent que le propriétaire n'a pas encore décidé. Je suis inquiet, je risque de me retrouver à la rue. Mon loyer est toujours payé, je suis un bon locataire. Je demande une réponse claire, soit je renouvelle, soit je cherche ailleurs. Mais je ne veux pas attendre le dernier moment."
AchatInternet,"Probleme_de_resiliation_dabonnement,Je_narrive_pas_a_resilier_mon_contrat",2026-06-24,TraitementEnCours,0,"Résiliation,Internet",0,1,0,"Je me suis abonné à un service de streaming pour un mois, mais je n'arrive pas à résilier. Sur le site, le bouton de résiliation est caché, j'ai cherché pendant 20 minutes. J'ai fini par trouver, mais quand je clique, ça me renvoie vers un formulaire. Je remplis, puis on me dit qu'il faut un délai de 15 jours. C'est disproportionné pour un abonnement mensuel. Je trouve cette pratique abusive. J'ai envoyé une lettre recommandée, mais ils continuent de prélever. Je vais contacter ma banque pour bloquer les prélèvements."
TelephonieFaiMedias,"Telephonie_internet,Autre,Qualite_du_service_client",2026-05-22,TraitementEnCours,1,"Telecom,Internet",0,1,0,"Je suis client chez vous depuis 5 ans. Depuis 2 mois, j'ai des coupures d'internet fréquentes, en moyenne 3 fois par semaine. J'ai appelé le service technique à plusieurs reprises, j'ai eu des interlocuteurs différents, aucun n'a réussi à résoudre le problème. Ils me font faire des tests, réinitialiser la box, mais rien n'y fait. Le service client est aimable mais inefficace. Je perds beaucoup de temps, je suis en télétravail, c'est gênant. Je demande une intervention d'un technicien compétent ou une solution durable, sinon je changerai d'opérateur."
AchatInternet,"Le_site_internet_en_luimeme,Autre",2026-06-12,TraitementEnCours,0,Internet,0,1,0,"Le site sur lequel j'ai commandé des chaussures est très mal conçu. Les photos ne correspondent pas aux couleurs réelles, le menu est confus, et il est impossible de trouver les conditions de retour. J'ai essayé de contacter le support via le formulaire, mais il y a une erreur à l'envoi. J'ai réussi à commander, mais je suis en stress jusqu'à la réception. Si le produit ne me convient pas, je ne sais pas comment faire un retour. C'est une mauvaise expérience. J'aimerais que le site soit plus transparent et plus fonctionnel."
VoitureVehiculeVelo,"Reparation_revision_vente_de_vehicule,Prix_paiement",2026-06-12,TraitementEnCours,0,aucun_tag,0,0,0,"J'ai amené ma voiture chez un garagiste pour un contrôle technique. Il m'a annoncé 65 euros, c'est le tarif habituel. À la fin, la facture était de 95 euros, car il m'a facturé un ""forfait main-d'œuvre"" supplémentaire. Je n'ai pas été informé de ce forfait avant le contrôle. Je trouve que c'est une augmentation cachée. J'ai contesté, mais il m'a dit que c'était écrit sur le panneau. Le panneau était tout petit, dans un coin. C'est de la mauvaise foi. Je ne le recommanderai pas. Je demande une régularisation du prix."
TelephonieFaiMedias,"Abonnement_television,Probleme_de_resiliation_dabonnement,Je_dois_payer_la_procedure_de_resilisation",2026-05-06,TraitementEnCours,0,"Résiliation,Internet",0,1,0,"Je souhaite résilier mon abonnement TV car je ne regarde plus les chaînes. J'ai appelé le service client, ils m'ont dit que la résiliation coûtait 50 euros de frais, car j'ai pris un engagement de 12 mois. Je suis abonné depuis 3 ans, je ne suis plus engagé. Ils m'ont répondu que c'était pour les frais administratifs. C'est abusif de faire payer 50 euros pour une résiliation. C'est juste un moyen de dissuader. Je refuse de payer, j'ai envoyé une lettre recommandée pour résilier sans frais. J'attends leur retour."
VoitureVehiculeVelo,"Reparation_revision_vente_de_vehicule,Autre,Autre",2026-06-25,TraitementEnCours,0,aucun_tag,0,1,0,"J'ai fait remplacer mes pneus dans un centre auto. Ils m'ont facturé des pneus neufs, mais j'ai constaté qu'ils étaient usés après 5000 km. Je soupçonne qu'ils ont installé des pneus rechapés sans me le dire. J'ai retourné au garage, ils ont nié. J'ai fait un constat avec un autre expert, qui a confirmé que ce n'étaient pas des pneus neufs. Je vais déposer plainte. C'est une escroquerie, je veux être remboursé et que le garage soit sanctionné. Je n'ose pas imaginer les risques pour la sécurité."
